Year,CityName,Measure,PopulationCount,MeasureId,Short_Question_Text
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2822,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3793,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,480,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3962,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,8569,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4362,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4406,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4209,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4216,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5884,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4867,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,8217,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4254,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3989,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5153,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,7886,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5594,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1416,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1380,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6025,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,106,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4037,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,7411,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4040,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5054,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,153,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3393,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,7111,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2654,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,52,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2775,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4998,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6070,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3087,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2878,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2484,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,8322,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3725,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,18,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5083,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,26,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,591,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3748,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3690,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4774,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3729,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,14,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2965,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,8259,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2860,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3941,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,60,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5991,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6433,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,9385,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3920,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3161,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3892,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4278,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4121,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2631,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2142,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4560,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,176,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5381,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2208,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4537,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4663,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,600,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4424,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,61,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3685,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4345,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3364,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3030,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5770,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5520,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,9419,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2805,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1613,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,982,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1803,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3655,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6849,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2935,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1712,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3303,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2177,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,33,SLEEP,Sleep <7 hours
2017,San Antonio,Binge drinking among adults aged >=18 Years,2906,BINGE,Binge Drinking
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6174,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2967,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,7544,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5355,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2886,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2675,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2220,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2327,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3632,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5123,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2430,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,9914,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4271,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5289,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1907,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3484,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1888,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,509,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2725,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5606,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5497,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4818,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5777,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3719,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4516,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6537,SLEEP,Sleep <7 hours
2017,San Antonio,Obesity among adults aged >=18 Years,3824,OBESITY,Obesity
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,681,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3818,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1463,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2446,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2512,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1756,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4647,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2541,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3216,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4882,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1765,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2099451,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,428,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5949,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5084,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,101,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,13,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4831,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3837,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5432,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3049,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3910,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5593,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2854,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4872,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,271,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2170,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2039,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6100,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1177,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3711,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5759,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2963,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1200,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2728,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2774,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3681,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4145,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,45,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6161,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,7869,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1008,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3801,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2340,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,7947,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5005,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3347,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2191,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2332,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,61,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1080,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3849,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,215,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3156,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3598,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6233,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2685,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3440,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2943,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,38,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1936,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,20,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5233,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6907,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6908,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5217,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,8313,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6693,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4503,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,391,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6449,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1969,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,2823,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6367,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,122,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4734,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,5242,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3663,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3284,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,4202,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,113,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6662,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1933,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,3894,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,6897,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,1597,SLEEP,Sleep <7 hours
2016,Houston,Sleeping less than 7 hours among adults aged >=18 Years,328,SLEEP,Sleep <7 hours
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,66,MHLTH,Mental Health
2017,San Antonio,Binge drinking among adults aged >=18 Years,4831,BINGE,Binge Drinking
2017,San Antonio,Binge drinking among adults aged >=18 Years,4290,BINGE,Binge Drinking
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,8623,SLEEP,Sleep <7 hours
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,6362,SLEEP,Sleep <7 hours
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,4028,SLEEP,Sleep <7 hours
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,5390,SLEEP,Sleep <7 hours
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,5491,MHLTH,Mental Health
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,5099,SLEEP,Sleep <7 hours
2017,San Antonio,Binge drinking among adults aged >=18 Years,9244,BINGE,Binge Drinking
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,4917,SLEEP,Sleep <7 hours
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,4595,MHLTH,Mental Health
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,6353,MHLTH,Mental Health
2017,San Antonio,Binge drinking among adults aged >=18 Years,5292,BINGE,Binge Drinking
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,1267,MHLTH,Mental Health
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,4945,MHLTH,Mental Health
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,4689,SLEEP,Sleep <7 hours
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,6162,SLEEP,Sleep <7 hours
2017,San Antonio,Obesity among adults aged >=18 Years,5103,OBESITY,Obesity
2017,San Antonio,Obesity among adults aged >=18 Years,58,OBESITY,Obesity
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,4042,MHLTH,Mental Health
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,5019,MHLTH,Mental Health
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,2077,MHLTH,Mental Health
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,6996,SLEEP,Sleep <7 hours
2017,San Antonio,Obesity among adults aged >=18 Years,4702,OBESITY,Obesity
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,1684,SLEEP,Sleep <7 hours
2017,San Antonio,Obesity among adults aged >=18 Years,2878,OBESITY,Obesity
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,4831,SLEEP,Sleep <7 hours
2017,San Antonio,Binge drinking among adults aged >=18 Years,5180,BINGE,Binge Drinking
2017,San Antonio,Obesity among adults aged >=18 Years,2272,OBESITY,Obesity
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,4462,MHLTH,Mental Health
2017,San Antonio,Obesity among adults aged >=18 Years,3901,OBESITY,Obesity
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,33,MHLTH,Mental Health
2017,San Antonio,Binge drinking among adults aged >=18 Years,1533,BINGE,Binge Drinking
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,4634,SLEEP,Sleep <7 hours
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,4420,MHLTH,Mental Health
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,7129,SLEEP,Sleep <7 hours
2017,San Antonio,Obesity among adults aged >=18 Years,4765,OBESITY,Obesity
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,4540,SLEEP,Sleep <7 hours
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,4387,SLEEP,Sleep <7 hours
2017,San Antonio,Binge drinking among adults aged >=18 Years,3436,BINGE,Binge Drinking
2017,San Antonio,Binge drinking among adults aged >=18 Years,277,BINGE,Binge Drinking
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,4481,SLEEP,Sleep <7 hours
2017,San Antonio,Obesity among adults aged >=18 Years,5185,OBESITY,Obesity
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,2238,SLEEP,Sleep <7 hours
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,2881,SLEEP,Sleep <7 hours
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,4734,SLEEP,Sleep <7 hours
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,3357,SLEEP,Sleep <7 hours
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,5362,MHLTH,Mental Health
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,1327407,SLEEP,Sleep <7 hours
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,5430,MHLTH,Mental Health
2017,San Antonio,Obesity among adults aged >=18 Years,4813,OBESITY,Obesity
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,4324,MHLTH,Mental Health
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,9620,SLEEP,Sleep <7 hours
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,1946,MHLTH,Mental Health
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,6328,SLEEP,Sleep <7 hours
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,5665,SLEEP,Sleep <7 hours
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,4491,MHLTH,Mental Health
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,27,SLEEP,Sleep <7 hours
2017,San Antonio,Binge drinking among adults aged >=18 Years,5023,BINGE,Binge Drinking
2017,San Antonio,Binge drinking among adults aged >=18 Years,2881,BINGE,Binge Drinking
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,3940,MHLTH,Mental Health
2017,San Antonio,Binge drinking among adults aged >=18 Years,4550,BINGE,Binge Drinking
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,9244,SLEEP,Sleep <7 hours
2017,San Antonio,Obesity among adults aged >=18 Years,1568,OBESITY,Obesity
2016,San Antonio,Sleeping less than 7 hours among adults aged >=18 Years,3982,SLEEP,Sleep <7 hours
2017,San Antonio,Obesity among adults aged >=18 Years,5228,OBESITY,Obesity
2017,San Antonio,Binge drinking among adults aged >=18 Years,3811,BINGE,Binge Drinking
2017,San Antonio,Obesity among adults aged >=18 Years,6885,OBESITY,Obesity
2017,San Antonio,Binge drinking among adults aged >=18 Years,3839,BINGE,Binge Drinking
2017,San Antonio,Binge drinking among adults aged >=18 Years,2989,BINGE,Binge Drinking
2017,San Antonio,Mental health not good for >=14 days among adults aged >=18 Years,4117,MHLTH,Mental Health
